id,vr_a,vr_a_err,vr_b,vr_b_err,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url
1,-58.5099983215332,0.05000000074505806,-58.65999984741211,0.05000000074505806,1635721458409799680,b'Gaia DR2 4418914936857620224',4418914936857620224,945946,2015.5,228.98376358910346,0.0393326491959811,-0.10162635639226236,0.046503785447744334,-0.001404820947910236,0.056700684915604246,-0.02477608434855938,-2.722381959985846,0.09029066622687522,-2.603691967910398,0.10423784373514804,-0.11516503244638443,-0.12010631710290909,0.09723580628633499,-0.1507594734430313,-0.5908349752426147,-0.3337438702583313,0.5463704466819763,0.23756423592567444,-0.4224516749382019,-0.4079309105873108,142,0,140,2,-0.9982881546020508,118.63916015625,0.0,0.0,31,False,13.849349975585938,1.5162294268130314,0.01119327399381195,0.01968308724462986,16,9,0.11623883992433548,0,16,False,136,11420.430057267457,7.885216631050194,1448.3343505859375,15.544159889221191,12,4740.740174270452,20.41463724324802,232.22259521484375,16.161773681640625,12,9665.407954955317,46.92305367207366,205.9842071533203,14.798869132995605,1.2614365816116333,0,1.3629045486450195,0.6176137924194336,0.7452907562255859,,,0,,,,b'NOT_AVAILABLE',0.8264802628067535,45.89529472221599,226.55787669217074,17.367795425454926,110001,4602.33642578125,4416.00634765625,5031.0,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418914936857620224',
2,-58.310001373291016,0.05000000074505806,-58.470001220703125,0.05000000074505806,1635721458409799680,b'Gaia DR2 4418919712861243264',4418919712861243264,388096450,2015.5,229.03607643834093,0.03982939835545878,-0.13424622737511147,0.04752693440601553,-0.0016179039167071728,0.05763852485974019,-0.028069835156202316,-2.7652200661063118,0.08901517109593382,-2.657845233633976,0.10521522494312312,-0.14436839520931244,-0.14663556218147278,0.05139058828353882,-0.19843100011348724,-0.5928349494934082,-0.3847251832485199,0.5473138689994812,0.22421616315841675,-0.43381088972091675,-0.47305628657341003,147,0,147,0,-0.5433748364448547,132.40101623535156,0.0,0.0,31,False,13.14559268951416,1.5085510035292604,0.01179384260505221,-0.020719047635793686,17,9,0.11872982233762741,0,17,False,145,10837.414673677042,7.809514711496553,1387.7193603515625,15.601051330566406,16,4520.33994786505,21.163350228024928,213.59283447265625,16.21346092224121,16,9193.848247785942,25.934712096630587,354.4997253417969,14.853177070617676,1.2654483318328857,0,1.3602838516235352,0.6124095916748047,0.7478742599487305,,,0,,,,b'NOT_AVAILABLE',0.840514514058049,45.834424606093016,226.61994082479345,17.350718449845886,110001,4779.0,4545.5,5000.25,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418919712861243264',
5,-56.91999816894531,0.07000000029802322,-57.060001373291016,0.05000000074505806,1635721458409799680,b'Gaia DR2 4418914730699187328',4418914730699187328,804580088,2015.5,228.96913394997853,0.04412925850326369,-0.12792841659560217,0.04041821230582163,-0.0011989523442310069,0.05392686506449676,-0.022232932969927788,-2.819020131011648,0.08976672737207972,-2.670684686589118,0.0874094116758404,-0.017963364720344543,-0.2917296290397644,-0.03278832137584686,-0.08961130678653717,-0.36931127309799194,-0.08747699111700058,0.14321579039096832,-0.06562239676713943,-0.059057965874671936,-0.2326672524213791,160,0,159,1,-1.4128217697143555,129.91586303710938,0.0,0.0,31,False,8.920625686645508,1.526447488608281,0.01231028501964866,0.010165904648602009,18,10,0.0939728170633316,0,18,False,159,7660.759928889348,4.947559609541588,1548.3916015625,15.977685928344727,17,3425.0872574332325,17.856770622114716,191.8088836669922,16.51470947265625,17,6144.288613283281,15.182711849597656,404.6897888183594,15.290740966796875,1.249141812324524,0,1.223968505859375,0.5370235443115234,0.6869449615478516,,,0,,,,b'NOT_AVAILABLE',0.7841837844383204,45.88903532021347,226.5506717363569,17.338494735028632,110001,4856.66650390625,4741.884765625,5024.0,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418914730699187328',
6,-58.720001220703125,0.09000000357627869,-58.869998931884766,0.10999999940395355,1635721458409799680,b'Gaia DR2 4418919953379415808',4418919953379415808,481376455,2015.5,229.0271711381124,0.05253008712160205,-0.11695928092953099,0.05993619889959449,-0.06196490701998218,0.07287907766910928,-0.8502427339553833,-2.8854705414127646,0.11764490765283711,-2.7518521148466553,0.12893476372433738,-0.14526984095573425,-0.08292097598314285,0.1689230352640152,-0.19546489417552948,-0.5977314114570618,-0.33705922961235046,0.527703583240509,0.21809473633766174,-0.4002246856689453,-0.41422608494758606,140,0,139,1,0.9507831335067749,149.45729064941406,0.0,0.0,31,True,7.524247646331787,1.5322611013844147,0.014935420755948852,0.007492127828299999,16,9,0.14303134381771088,0,16,False,138,6580.044496367193,5.120122927222687,1285.134033203125,16.142793655395508,14,2885.019089238095,18.429823703266326,156.54078674316406,16.701017379760742,16,5424.674244910157,11.536732570736236,470.2088928222656,15.425986289978027,1.2628628015518188,0,1.2750310897827148,0.5582237243652344,0.7168073654174805,,,0,,,,b'NOT_AVAILABLE',0.8508298928638631,45.852494060890116,226.60601680550812,17.364914240157564,110001,4875.80322265625,4721.80322265625,5047.0,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418919953379415808',
7,-58.790000915527344,0.10000000149011612,-58.93000030517578,0.11999999731779099,1635721458409799680,b'Gaia DR2 4418914043504415104',4418914043504415104,1451653067,2015.5,229.00833534224745,0.05064436384434011,-0.13412781992336545,0.06077609017556736,0.05243400380567936,0.0738709571393472,0.7098053693771362,-3.0498245853749606,0.11337774889335538,-2.428297280748639,0.13265743974660935,-0.14250724017620087,-0.12020153552293777,0.05650659650564194,-0.19630195200443268,-0.601804256439209,-0.36049768328666687,0.5289972424507141,0.2089700549840927,-0.4220386743545532,-0.45302119851112366,150,0,150,0,-0.42430731654167175,137.24996948242188,0.0,0.0,31,False,7.185680866241455,1.5222552215230165,0.014384206960133086,-0.022503487765789032,17,9,0.14536137878894806,0,17,False,149,6305.880854553337,4.448393677333813,1417.5635986328125,16.189001083374023,16,2790.045651285278,17.52748995917304,159.18113708496094,16.73736000061035,15,5261.2945784847525,18.124645949169455,290.28399658203125,15.459188461303711,1.2767986059188843,0,1.2781715393066406,0.5483589172363281,0.7298126220703125,,,0,,,,b'NOT_AVAILABLE',0.8144789095602976,45.855416187305785,226.59195030506436,17.34325132971567,100001,4854.0,4697.78662109375,5036.0,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418914043504415104',
8,-58.97999954223633,0.05000000074505806,-59.13999938964844,0.05000000074505806,1635721458409799680,b'Gaia DR2 4418921396488436352',4418921396488436352,964319946,2015.5,229.03990238567607,0.0722115041673044,-0.044466705402546484,0.07610550971427123,0.20549014124451884,0.10268900601037684,2.001091957092285,-2.387129719595152,0.14074291354824203,-3.0593058429132682,0.15585937540548458,0.13380682468414307,-0.2898683547973633,0.14671292901039124,-0.027623342350125313,-0.6716728806495667,-0.26413875818252563,0.6102595925331116,0.15887314081192017,-0.49327367544174194,-0.2716657817363739,115,0,113,2,1.844775915145874,136.66322326660156,0.11222059798640625,0.5023457857078265,31,False,6.208705902099609,1.5087173360047346,0.01981316729757142,0.17086510360240936,13,8,0.16536524891853333,0,13,False,111,6101.859156777008,5.4224293334932385,1125.2999267578125,16.22471046447754,12,2797.3680008112956,16.447105983733795,170.0826873779297,16.734514236450195,12,4782.88817835636,15.115469896332948,316.42340087890625,15.562694549560547,1.2422863245010376,0,1.1718196868896484,0.5098037719726562,0.6620159149169922,,,0,,,,b'NOT_AVAILABLE',0.941382047454681,45.89046921645833,226.59808845102683,17.43812640553002,100001,4915.5,4895.02490234375,5103.0,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418921396488436352',
9,-57.349998474121094,0.15000000596046448,-57.4900016784668,0.15000000596046448,1635721458409799680,b'Gaia DR2 4418914795122864384',4418914795122864384,816053024,2015.5,228.957077285502,0.051051353251026596,-0.11689582847644896,0.04601303112081751,0.12045448347559179,0.06149210590187593,1.9588608741760254,-2.51165683178354,0.10419817760619911,-2.839373854067695,0.09932316148168131,-0.00713423453271389,-0.2634885013103485,-0.04165789484977722,-0.10411378741264343,-0.36002713441848755,-0.09124031662940979,0.14428375661373138,-0.08125991374254227,-0.05431564524769783,-0.19404596090316772,157,0,157,0,1.6415444612503052,181.70338439941406,0.07652477777784361,0.2891461451862916,31,False,6.653387069702148,1.5453315703105877,0.01358199995577645,0.024269074201583862,18,10,0.10476421564817429,0,18,False,154,6180.827979030571,4.185686446439084,1476.658203125,16.21074867248535,17,2881.504931627878,18.869775519898504,152.7047882080078,16.70233917236328,17,4815.768731536601,18.10825115511409,265.9433288574219,15.555255889892578,1.2453466653823853,0,1.1470832824707031,0.4915904998779297,0.6554927825927734,,,0,,,,b'NOT_AVAILABLE',0.7847404245208838,45.90537332566145,226.53536064021915,17.3458077309138,100001,4852.0,4660.0,4972.4501953125,2.626699924468994,2.263000011444092,2.779099941253662,1.3083000183105469,1.1360000371932983,1.404099941253662,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418914795122864384',
10,-60.099998474121094,0.14000000059604645,-60.2400016784668,0.14000000059604645,1635721458409799680,b'Gaia DR2 4418913906065459840',4418913906065459840,700359536,2015.5,228.99796646971836,0.05808645119979502,-0.14990709020676532,0.07045312363359446,-0.010298329018183845,0.08314742079838439,-0.12385626882314682,-2.875083680746573,0.12763017307025873,-2.6251927170691753,0.1471310692136508,-0.1643562614917755,-0.11147871613502502,0.06862002611160278,-0.2239951491355896,-0.5860056281089783,-0.3576493263244629,0.524826169013977,0.18261907994747162,-0.3941645920276642,-0.4291418790817261,147,0,146,1,-0.6937409043312073,129.03858947753906,0.0,0.0,31,False,5.412070274353027,1.5411549019607929,0.01727578214377628,-0.03771970421075821,17,9,0.15986856818199158,0,17,False,144,4882.858016501603,4.091931511391463,1193.289306640625,16.4666805267334,13,2210.824404282371,16.978126186191364,130.21604919433594,16.990001678466797,12,3937.167598881752,15.272066953417214,257.8018798828125,15.77396011352539,1.2590969800949097,0,1.2160415649414062,0.5233211517333984,0.6927204132080078,,,0,,,,b'NOT_AVAILABLE',0.7876193606895647,45.852860063596616,226.5860205801178,17.325238613628887,110001,4919.0,4849.0,5100.0,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418913906065459840',
11,-58.900001525878906,0.09000000357627869,-59.060001373291016,0.07000000029802322,1635721458409799680,b'Gaia DR2 4418914833778403712',4418914833778403712,1341280932,2015.5,228.97828719946025,0.07944985925274312,-0.11530632034221079,0.07175468015234149,-0.023750889990158994,0.0949992873634935,-0.25001123547554016,-2.4409449009576667,0.16914041188614357,-2.940759080285976,0.1574886670393128,0.02198450081050396,-0.22510306537151337,0.02462042309343815,-0.04376889392733574,-0.36213821172714233,-0.025036728009581566,0.13434799015522003,-0.05164216831326485,0.001047510071657598,-0.10201390832662582,148,0,146,2,0.7217399477958679,152.76632690429688,0.09530335898803255,0.1932899546677759,31,False,2.774362564086914,1.5585985614112412,0.021567386476489536,0.039869923144578934,17,10,0.15678240358829498,0,17,False,144,2819.4477086717816,2.663021205441442,1058.740234375,17.062955856323242,15,1341.1144870409837,9.917455013261167,135.22769165039062,17.532724380493164,15,2224.917460678158,15.45154654856076,143.99319458007812,16.393634796142578,1.2647980451583862,0,1.139089584350586,0.4697685241699219,0.6693210601806641,,,0,,,,b'NOT_AVAILABLE',0.8064939404334182,45.89043370919164,226.55627813988414,17.35313922233657,110001,4964.0,4850.0,5056.16015625,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418914833778403712',
12,-52.970001220703125,0.11999999731779099,-53.130001068115234,0.11999999731779099,1635721458409799680,b'Gaia DR2 4418731765092431104',4418731765092431104,283181337,2015.5,229.11010988034795,0.08292078272582959,-0.1513935021373994,0.0980386434655725,0.8082693555592956,0.12061333793062708,6.701326370239258,-12.29009774143506,0.18859047598206333,4.391030358183457,0.21911156316610866,-0.11953883618116379,-0.1280544400215149,0.1543954312801361,-0.13574077188968658,-0.5925438404083252,-0.32294195890426636,0.5629761219024658,0.23696915805339813,-0.42024269700050354,-0.4165462255477905,146,0,146,0,0.7461158037185669,153.19854736328125,0.0,0.0,31,False,2.592641830444336,1.5574954191991548,0.024758912459512852,-0.005346869584172964,17,9,0.23132646083831787,0,17,False,144,2588.7543408357496,2.7750191038022938,932.8780517578125,17.155637741088867,16,1222.2630521030853,13.412252519639678,91.13033294677734,17.63347625732422,16,2064.8638486263158,15.712831438688877,131.41258239746094,16.47469139099121,1.269771695137024,0,1.1587848663330078,0.47783851623535156,0.6809463500976562,,,0,,,,b'NOT_AVAILABLE',0.8916936456124367,45.76732839125926,226.6994622079651,17.35443416063683,,,,,,,,,,,,,,,,,,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4418731765092431104',
